sample,time,temp1,val1,val2,val3,
78,341.5239,24.086,+1.05906120E+01,1.05907653E+01,+2.02690000E-02,
79,345.9247,24.086,+1.05906126E+01,1.05907670E+01,+2.02690000E-02,
80,350.3257,24.086,+1.05906136E+01,1.05907679E+01,+2.04000000E-02,
81,354.7269,24.086,+1.05906136E+01,1.05907668E+01,+2.02690000E-02,
82,359.1282,24.086,+1.05906131E+01,1.05907663E+01,+2.02690000E-02,
83,363.5293,24.086,+1.05906138E+01,1.05907672E+01,+2.02690000E-02,
84,367.9301,24.086,+1.05906135E+01,1.05907653E+01,+2.02690000E-02,
85,372.3308,24.078,+1.05906130E+01,1.05907661E+01,+2.02690000E-02,
86,376.7319,24.078,+1.05906134E+01,1.05907658E+01,+2.02690000E-02,
87,381.1325,24.078,+1.05906131E+01,1.05907667E+01,+2.04000000E-02,
88,385.5340,24.078,+1.05906140E+01,1.05907672E+01,+2.02690000E-02,
89,389.9333,24.070,+1.05906135E+01,1.05907672E+01,+2.04000000E-02,
90,394.3343,24.070,+1.05906127E+01,1.05907666E+01,+2.04000000E-02,
91,398.7336,24.070,+1.05906137E+01,1.05907673E+01,+2.02690000E-02,
92,403.1342,24.070,+1.05906134E+01,1.05907657E+01,+2.02690000E-02,
93,407.5325,24.070,+1.05906130E+01,1.05907649E+01,+2.02690000E-02,
94,411.9315,24.070,+1.05906125E+01,1.05907668E+01,+2.04000000E-02,
95,416.3310,24.070,+1.05906126E+01,1.05907677E+01,+2.02690000E-02,
96,420.7325,24.070,+1.05906121E+01,1.05907670E+01,+2.02690000E-02,
97,425.1309,24.078,+1.05906124E+01,1.05907684E+01,+2.02690000E-02,
98,429.5303,24.078,+1.05906115E+01,1.05907678E+01,+2.02690000E-02,
99,433.9259,24.078,+1.05906118E+01,1.05907695E+01,+2.02690000E-02,
100,438.3350,24.078,+1.05906118E+01,1.05907676E+01,+2.04000000E-02,
101,442.7228,24.070,+1.05906115E+01,1.05907667E+01,+2.02690000E-02,
102,447.1217,24.070,+1.05906124E+01,1.05907688E+01,+2.02690000E-02,
